Year,Revenue,Quantity,GrossMargin,SaleID,RetailerCountry,OrderMethod,RetailerType,ProductLine,ProductType,Product,Quarter
2018,59728.66,491.0,0.35754797,SaleID_1,United States,Fax,Outdoors Shop,Personal Accessories,Cooking Gear,TrailChef Deluxe Cook Set,Q1 2018
2018,36050.32,254.0,0.4842745,SaleID_2,United States,Fax,Outdoors Shop,Sports Equipment,Cooking Gear,TrailChef Double Flame,Q1 2018
2018,22127.333620102218,305.0,0.29293788,,,,,,,,
2018,22127.333620102218,182.0,0.61070985,SaleID_4,United States,Fax,Outdoors Shop,Personal Accessories,Tents,Star Gazer 2,Q1 2018
2018,811.28,138.0,0.64288719,SaleID_5,United States,,Outdoors Shop,Personal Accessories,First Aid,Compact Relief Kit,Q1 2018
2018,11100.0,52.0,0.48472727,SaleID_6,United States,Fax,Outdoors Shop,Camping Equipment,First Aid,Aloe Relief,Q1 2018
2018,14104.0,74.0,0.47098543,SaleID_7,United States,Phone,Mall,Camping Equipment,Watches,Infinity,Q1 2018
2018,14027.0,60.0,0.45401666,SaleID_8,United States,Phone,Mall,Camping Equipment,Watches,TX,Q1 2018
2018,7456.48,1266.0,0.5357732,SaleID_9,United States,Phone,Mall,Camping Equipment,Watches,Legend,Q1 2018
2018,811.28,138.0,0.64288719,SaleID_10,United States,Mail,Department Store,Personal Accessories,Sunscreen,Sun Shield,Q1 2018
2018,87422.62,239.0,0.41018978,SaleID_11,United States,Mail,Department Store,Mountaineering Equipment,First Aid,Aloe Relief,Q1 2018
2018,21678.7,431.0,0.40525921,SaleID_12,United States,Mail,Department Store,Outdoor Protection,Irons,Hailstorm Steel Irons,Q1 2018
2018,70564.7,2304.0,0.33717588,SaleID_13,United States,Web,Mall,Camping Equipment,Eyewear,Trendi,Q1 2018
2018,29584.0,730.0,0.41053453,SaleID_14,United States,Web,Mall,Sports Equipment,Eyewear,Zone,Q1 2018
2018,12362.2,323.0,0.54979058,SaleID_15,United States,Web,Mall,Personal Accessories,Eyewear,Hawk Eye,Q1 2018
2018,16911.6,1380.0,0.60992148,SaleID_16,United States,Web,Mall,Camping Equipment,Knives,Max Gizmo,Q1 2018
2018,15170.0,139.0,0.551,SaleID_17,United States,Web,Mall,Camping Equipment,Knives,Pocket Gizmo,Q1 2018
2018,69448.5,1137.0,0.29363339,SaleID_18,United States,Web,Mall,Personal Accessories,Binoculars,Opera Vision,Q1 2018
2018,16981.48,524.0,0.52422387,,,,,,,,
2018,51961.68,13758.0,0.49012174,,,,,,,,
2018,25442.4,339.0,0.49178191,,,,,,,,
2018,36464.8,949.0,0.50166667,SaleID_22,United States,Sales visit,Outdoors Shop,Camping Equipment,Safety,Husky Harness,Q1 2018
2018,45671.2,608.0,0.39138298,,,,,,,,
2018,4216.72,104.0,0.51445986,SaleID_24,United States,Sales visit,Outdoors Shop,Sports Equipment,Safety,Granite Signal Mirror,Q1 2018
2018,9375.86,123.0,0.50126011,SaleID_25,United States,Sales visit,Outdoors Shop,Camping Equipment,Climbing Accessories,Granite Carabiner,Q1 2018
2018,24715.78,3743.0,0.64221884,SaleID_26,United States,Other,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,Q1 2018
2018,3661.32,160.0,0.61070985,SaleID_27,United States,Other,Outdoors Shop,Personal Accessories,Tools,Granite Axe,Q1 2018
2018,22127.333620102218,167.0,0.42863014,SaleID_28,United States,Other,Outdoors Shop,Mountaineering Equipment,Tools,Granite Extreme,Q1 2018
2018,21060.0,116.0,0.46054389,SaleID_29,United States,Other,Outdoors Shop,Camping Equipment,Watches,Mountain Man Digital,Q1 2018
2018,3840.0,19.0,0.48345455,SaleID_30,United States,Other,Outdoors Shop,Personal Accessories,Watches,Mountain Man Deluxe,Q1 2018
2018,33545.2,273.0,0.46531676,SaleID_31,United States,Other,Outdoors Shop,Personal Accessories,Insect Repellents,BugShield Extreme,Q1 2018
2018,23884.3,623.0,0.35070668,SaleID_32,United States,Other,Outdoors Shop,Mountaineering Equipment,First Aid,Compact Relief Kit,Q1 2018
2018,9225.0,27.0,0.3592274,SaleID_33,Canada,Fax,Outdoors Shop,Outdoor Protection,Watches,Venue,Q1 2018
2018,72984.02,63.0,0.43250716,SaleID_34,Canada,Fax,Outdoors Shop,Personal Accessories,Watches,TX,Q1 2018
2018,35202.97,43.0,0.45845066,SaleID_35,Canada,Fax,Outdoors Shop,Camping Equipment,Watches,Legend,Q1 2018
2018,36875.25,511.0,0.52695502,SaleID_36,Canada,Fax,Outdoors Shop,Mountaineering Equipment,Watches,Kodiak,Q1 2018
2018,29643.46,176.0,0.46933212,SaleID_37,Canada,Fax,Outdoors Shop,Mountaineering Equipment,Eyewear,Capri,Q1 2018
